minutes;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
29;347970;350220;350814;352230;353652;355074;356496;357918;359346;360780;362214;363654;365100;366552;368016;369480;370962;372450;373944;375456;376980;378516;380064;381630;383214;384810;386430;388068;389730;391410;393114;394842;396594;398376;400188;402030;403908;405810;407754;409734;411756;413820;415926;418074;420276;422526;424830;427188;429606;432090;434634;437250;439944;442704;445554;448482;451500;454614;457830;461142;464568;468108;471774;475560;479484;483546;487758
30;348798;351042;351636;353058;354480;355896;357318;358740;360168;361596;363030;364470;365916;367368;368826;370290;371766;373254;374748;376260;377778;379314;380862;382422;384000;385602;387216;388848;390504;392184;393882;395610;397362;399138;400944;402786;404652;406554;408492;410472;412488;414540;416640;418788;420978;423222;425520;427872;430284;432756;435300;437904;440586;443340;446178;449094;452106;455208;458406;461712;465120;468648;472296;476070;479982;484026;488220
31;349626;351870;352464;353886;355302;356724;358140;359562;360990;362418;363852;365286;366732;368184;369636;371106;372576;374058;375558;377058;378576;380112;381654;383214;384792;386388;388002;389634;391284;392958;394656;396378;398124;399900;401700;403536;405402;407298;409230;411204;413214;415266;417354;419496;421686;423918;426210;428556;430962;433428;435954;438558;441228;443970;446796;449706;452706;455796;458988;462276;465678;469188;472824;476586;480474;484506;488688
32;350454;352698;353292;354708;356130;357546;358968;360384;361812;363240;364668;366108;367548;368994;370452;371916;373386;374868;376362;377862;379380;380910;382452;384006;385584;387174;388782;390414;392064;393732;395424;397146;398886;400656;402456;404286;406146;408042;409968;411936;413940;415986;418074;420204;422388;424620;426900;429240;431634;434094;436614;439206;441870;444606;447420;450318;453306;456390;459564;462846;466230;469728;473352;477096;480972;484986;489150
33;351282;353526;354120;355536;356952;358368;359790;361206;362634;364056;365490;366924;368364;369810;371262;372726;374196;375672;377166;378666;380178;381708;383244;384804;386370;387960;389568;391194;392838;394506;396198;397914;399654;401418;403212;405036;406896;408780;410706;412668;414666;416706;418788;420918;423090;425316;427590;429924;432312;434760;437274;439860;442512;445236;448044;450936;453912;456978;460140;463410;466782;470268;473874;477606;481470;485466;489612
34;352110;354354;354948;356364;357780;359196;360612;362034;363450;364878;366306;367740;369180;370620;372072;373536;375000;376482;377970;379470;380976;382500;384042;385596;387162;388746;390354;391974;393618;395280;396966;398676;400416;402180;403968;405786;407640;409524;411444;413400;415392;417426;419502;421626;423792;426012;428280;430602;432984;435426;437934;440508;443154;445872;448668;451548;454512;457566;460722;463974;467340;470808;474402;478116;481962;485946;490074
35;352938;355182;355776;357186;358602;360018;361434;362856;364272;365694;367122;368556;369990;371436;372888;374346;375810;377286;378774;380268;381780;383298;384834;386388;387954;389532;391134;392754;394392;396054;397740;399444;401178;402936;404724;406536;408384;410268;412182;414132;416118;418146;420216;422334;424494;426708;428970;431286;433662;436092;438594;441156;443790;446502;449286;452154;455112;458160;461298;464544;467892;471348;474930;478632;482460;486432;490542
36;353766;356010;356598;358014;359430;360846;362262;363678;365094;366516;367944;369372;370806;372252;373698;375156;376620;378090;379578;381072;382578;384096;385632;387180;388740;390318;391920;393534;395172;396828;398508;400212;401940;403692;405480;407286;409134;411006;412914;414858;416844;418866;420930;423042;425196;427398;429654;431964;434334;436758;439248;441804;444432;447132;449910;452766;455712;458748;461880;465108;468444;471888;475452;479142;482958;486912;491004
37;354594;356844;357426;358842;360258;361668;363084;364500;365916;367338;368760;370188;371622;373062;374508;375966;377424;378900;380382;381870;383376;384894;386424;387966;389532;391104;392700;394314;395946;397602;399276;400980;402702;404454;406230;408036;409878;411744;413652;415590;417570;419586;421644;423750;425898;428094;430344;432648;435006;437424;439908;442458;445074;447762;450528;453378;456312;459336;462456;465672;468996;472428;475980;479652;483456;487392;491466
38;355422;357672;358254;359670;361080;362496;363906;365322;366738;368154;369582;371004;372438;373878;375324;376776;378234;379704;381186;382674;384174;385692;387216;388758;390318;391890;393486;395094;396726;398376;400050;401742;403464;405210;406986;408786;410622;412488;414384;416322;418296;420306;422358;424458;426600;428790;431034;433326;435678;438090;440568;443106;445710;448392;451152;453990;456912;459924;463032;466242;469548;472968;476508;480162;483948;487872;491934
39;356256;358500;359082;360498;361908;363318;364728;366144;367560;368976;370398;371820;373254;374688;376134;377586;379044;380508;381984;383472;384972;386484;388014;389550;391104;392676;394266;395874;397500;399144;400818;402510;404226;405966;407736;409536;411366;413226;415122;417048;419016;421026;423072;425166;427302;429486;431718;434010;436350;438756;441222;443754;446352;449022;451770;454602;457512;460518;463608;466806;470100;473508;477030;480678;484446;488352;492396
40;357084;359328;359910;361320;362730;364146;365556;366966;368382;369798;371214;372642;374070;375504;376944;378396;379848;381318;382788;384276;385776;387282;388806;390342;391896;393462;395046;396654;398274;399918;401586;403272;404988;406728;408492;410286;412110;413964;415854;417780;419742;421740;423786;425868;427998;430176;432408;434688;437028;439422;441876;444402;446994;449652;452394;455208;458112;461106;464190;467370;470652;474048;477558;481188;484944;488832;492864
41;357912;360156;360738;362148;363558;364968;366378;367788;369198;370614;372036;373458;374886;376314;377754;379200;380658;382122;383592;385074;386574;388080;389598;391134;392682;394248;395832;397428;399048;400692;402354;404040;405750;407484;409242;411036;412854;414702;416592;418512;420468;422460;424494;426576;428700;430872;433092;435366;437700;440088;442536;445050;447630;450282;453012;455820;458712;461694;464766;467934;471210;474588;478086;481698;485442;489312;493326
42;358746;360984;361566;362976;364386;365796;367200;368610;370020;371436;372852;374274;375696;377130;378570;380010;381462;382926;384396;385878;387372;388872;390390;391926;393468;395034;396612;398208;399828;401460;403122;404802;406506;408240;409998;411780;413598;415446;417324;419238;421188;423180;425208;427284;429402;431562;433782;436044;438372;440748;443190;445698;448272;450912;453630;456432;459312;462282;465342;468498;471762;475128;478608;482208;485934;489792;493794
43;359574;361818;362394;363804;365214;366618;368028;369432;370842;372258;373668;375090;376512;377946;379380;380820;382272;383730;385200;386676;388170;389670;391188;392712;394260;395814;397392;398988;400602;402234;403890;405564;407268;408996;410748;412530;414342;416184;418056;419964;421914;423894;425922;427986;430098;432258;434466;436728;439038;441414;443844;446346;448908;451542;454254;457038;459912;462870;465918;469062;472314;475668;479136;482724;486432;490278;494256
44;360402;362646;363222;364632;366036;367446;368850;370254;371664;373074;374490;375906;377328;378756;380190;381630;383082;384534;386004;387480;388968;390468;391980;393504;395046;396600;398172;399768;401376;403008;404658;406332;408030;409752;411498;413274;415080;416922;418788;420696;422634;424614;426630;428694;430800;432948;435150;437406;439710;442074;444504;446988;449544;452172;454872;457650;460512;463458;466494;469626;472866;476208;479658;483234;486930;490758;494724
45;361236;363474;364056;365460;366864;368268;369672;371082;372486;373896;375306;376722;378144;379572;381000;382440;383886;385344;386808;388278;389766;391260;392772;394296;395832;397386;398958;400542;402150;403776;405426;407094;408786;410508;412248;414024;415824;417660;419520;421422;423354;425328;427344;429396;431496;433644;435834;438084;440382;442740;445158;447636;450186;452802;455490;458256;461106;464046;467070;470196;473418;476748;480186;483744;487428;491238;495186
46;362064;364308;364884;366288;367692;369096;370500;371904;373308;374718;376128;377538;378960;380382;381810;383250;384696;386148;387606;389082;390564;392058;393564;395082;396618;398172;399738;401322;402924;404550;406194;407856;409548;411264;413004;414768;416568;418392;420252;422148;424080;426048;428052;430104;432192;434334;436524;438762;441054;443400;445812;448284;450822;453426;456108;458868;461706;464634;467646;470760;473970;477282;480714;484254;487920;491718;495654
47;362898;365136;365712;367116;368520;369918;371322;372726;374130;375534;376944;378354;379776;381198;382626;384060;385500;386952;388410;389880;391362;392850;394356;395874;397404;398952;400518;402096;403698;405318;406956;408618;410304;412014;413754;415518;417306;419130;420984;422874;424800;426762;428766;430806;432894;435024;437208;439440;441720;444066;446466;448926;451458;454056;456726;459474;462306;465222;468222;471324;474522;477822;481236;484764;488418;492198;496116
48;363726;365964;366540;367944;369348;370746;372150;373548;374952;376356;377760;379176;380592;382008;383436;384870;386310;387756;389214;390678;392160;393648;395148;396666;398190;399738;401298;402876;404472;406086;407724;409386;411066;412770;414504;416262;418050;419868;421716;423600;425520;427476;429474;431508;433590;435714;437892;440112;442392;444726;447120;449574;452094;454686;457344;460086;462900;465804;468798;471888;475074;478362;481764;485280;488916;492684;496584
